product_id,product_name,description,price,category_id,vendor_id,status
1e9e8ef04dbcff4541ed26657ea517e5,Perfumery Product #1E9E8E,"Standard catalog item in Perfumery. Package dimensions: 16x14x10 cm, Weight: 225g.",10.91,72,5670f4db5b62c43d542e1b2d56b0cf7c,Active
3aa071139cb16b67ca9e5dea641aaa2f,Art Product #3AA071,"Standard catalog item in Art. Package dimensions: 30x20x18 cm, Weight: 1000g.",248.0,13,b561927807645834b59ef0d16ba55a24,Active
96bd76ec8810374ed1b65e291975717f,Sports Leisure Product #96BD76,"Standard catalog item in Sports Leisure. Package dimensions: 18x15x9 cm, Weight: 154g.",79.8,42,7b07b3c7487f0ea825fc6df75abd658b,Active
cef67bcfe19066a932b7673e239eb23d,Baby Product #CEF67B,"Standard catalog item in Baby. Package dimensions: 26x26x4 cm, Weight: 371g.",112.3,19,c510bc1718f0f2961eaa42a23330681a,Active
9dc1a7de274444849c219cff195d0b71,Housewares Product #9DC1A7,"Standard catalog item in Housewares. Package dimensions: 20x13x17 cm, Weight: 625g.",37.9,82,0be8ff43f22e456b4e0371b2245e4d01,Active
41d3672d4792049fa1779bb35283ed13,Musical Instruments Product #41D367,"Standard catalog item in Musical Instruments. Package dimensions: 38x11x5 cm, Weight: 200g.",45.87,55,ce248b21cb2adc36282ede306b7660e5,Active
732bd381ad09e530fe0a5f457d81becb,Cool Stuff Product #732BD3,"Standard catalog item in Cool Stuff. Package dimensions: 70x44x24 cm, Weight: 18350g.",963.0,36,8b8cfc8305aa441e4239358c9f6f2485,Active
2548af3e6e77a690cf3eb6368e9ab61e,Furniture Decor Product #2548AF,"Standard catalog item in Furniture Decor. Package dimensions: 40x40x8 cm, Weight: 900g.",9.99,64,95f83f51203c626648c875dd41874c7f,Active
37cc742be07708b53a98702e77a21a02,Home Appliances Product #37CC74,"Standard catalog item in Home Appliances. Package dimensions: 27x17x13 cm, Weight: 400g.",10.4,38,d91fb3b7d041e83b64a00a3edfb37e4f,Active
8c92109888e8cdf9d66dc7e463025574,Toys Product #8C9210,"Standard catalog item in Toys. Package dimensions: 17x12x10 cm, Weight: 600g.",82.9,22,0432ead42b6c8a0bdf68154add917fdf,Active
14aa47b7fe5c25522b47b4b29c98dcb9,Bed Bath Table Product #14AA47,"Standard catalog item in Bed Bath Table. Package dimensions: 16x16x10 cm, Weight: 1100g.",71.99,23,1835b56ce799e6a4dc4eddc053f04066,Active
03b63c5fc16691530586ae020c345514,Baby Product #03B63C,"Standard catalog item in Baby. Package dimensions: 50x45x19 cm, Weight: 7150g.",239.0,19,bfd27a966d91cfaafdb25d076585f0da,Active
cf55509ea8edaaac1d28fdb16e48fc22,Musical Instruments Product #CF5550,"Standard catalog item in Musical Instruments. Package dimensions: 17x17x7 cm, Weight: 250g.",207.25,55,06e5eefc71ec47ae763c5c6f8db7064f,Active
7bb6f29c2be57716194f96496660c7c2,Furniture Decor Product #7BB6F2,"Standard catalog item in Furniture Decor. Package dimensions: 68x13x11 cm, Weight: 600g.",59.9,64,5a8e7d5003a1f221f9e1d6e411de7c23,Active
eb31436580a610f202c859463d8c7415,Construction Tools Safety Product #EB3143,"Standard catalog item in Construction Tools Safety. Package dimensions: 17x17x7 cm, Weight: 200g.",226.18,35,06e5eefc71ec47ae763c5c6f8db7064f,Active
3bb7f144022e6732727d8d838a7b13b3,Sports Leisure Product #3BB7F1,"Standard catalog item in Sports Leisure. Package dimensions: 16x11x2 cm, Weight: 800g.",26.7,42,a17f621c590ea0fab3d5d883e1630ec6,Active
6a2fb4dd53d2cdb88e0432f1284a004c,Perfumery Product #6A2FB4,"Standard catalog item in Perfumery. Package dimensions: 27x20x5 cm, Weight: 400g.",16.9,72,7040e82f899a04d1b434b795a43b4617,Active
a1b71017a84f92fd8da4aeefba108a24,Computers Accessories Product #A1B710,"Standard catalog item in Computers Accessories. Package dimensions: 40x20x15 cm, Weight: 900g.",69.9,54,87142160b41353c4e5fca2360caf6f92,Active
a0736b92e52f6cead290e30b578413b6,Furniture Decor Product #A0736B,"Standard catalog item in Furniture Decor. Package dimensions: 100x15x7 cm, Weight: 1700g.",49.7,64,391fc6631aebcf3004804e51b40bcf1e,Active
f53103a77d9cf245e579ea37e5ec51f0,Bed Bath Table Product #F53103,"Standard catalog item in Bed Bath Table. Package dimensions: 16x16x10 cm, Weight: 500g.",41.99,23,1835b56ce799e6a4dc4eddc053f04066,Active
