product_id,tag
1e9e8ef04dbcff4541ed26657ea517e5,standard
1e9e8ef04dbcff4541ed26657ea517e5,perfumery
1e9e8ef04dbcff4541ed26657ea517e5,budget
3aa071139cb16b67ca9e5dea641aaa2f,standard
3aa071139cb16b67ca9e5dea641aaa2f,midrange
3aa071139cb16b67ca9e5dea641aaa2f,art
96bd76ec8810374ed1b65e291975717f,standard
96bd76ec8810374ed1b65e291975717f,midrange
96bd76ec8810374ed1b65e291975717f,sports
cef67bcfe19066a932b7673e239eb23d,baby
cef67bcfe19066a932b7673e239eb23d,midrange
cef67bcfe19066a932b7673e239eb23d,standard
9dc1a7de274444849c219cff195d0b71,standard
9dc1a7de274444849c219cff195d0b71,budget
9dc1a7de274444849c219cff195d0b71,housewares
41d3672d4792049fa1779bb35283ed13,standard
41d3672d4792049fa1779bb35283ed13,budget
41d3672d4792049fa1779bb35283ed13,musical
732bd381ad09e530fe0a5f457d81becb,cool
732bd381ad09e530fe0a5f457d81becb,premium
732bd381ad09e530fe0a5f457d81becb,standard
2548af3e6e77a690cf3eb6368e9ab61e,popular
2548af3e6e77a690cf3eb6368e9ab61e,budget
2548af3e6e77a690cf3eb6368e9ab61e,furniture
37cc742be07708b53a98702e77a21a02,standard
37cc742be07708b53a98702e77a21a02,home
37cc742be07708b53a98702e77a21a02,budget
8c92109888e8cdf9d66dc7e463025574,standard
8c92109888e8cdf9d66dc7e463025574,midrange
8c92109888e8cdf9d66dc7e463025574,toys
14aa47b7fe5c25522b47b4b29c98dcb9,midrange
14aa47b7fe5c25522b47b4b29c98dcb9,popular
14aa47b7fe5c25522b47b4b29c98dcb9,bed
03b63c5fc16691530586ae020c345514,baby
03b63c5fc16691530586ae020c345514,midrange
03b63c5fc16691530586ae020c345514,standard
cf55509ea8edaaac1d28fdb16e48fc22,standard
cf55509ea8edaaac1d28fdb16e48fc22,midrange
cf55509ea8edaaac1d28fdb16e48fc22,musical
7bb6f29c2be57716194f96496660c7c2,standard
7bb6f29c2be57716194f96496660c7c2,midrange
